Unnamed: 0,country,year,population,yearly_%_change,migrants,median_age,fertility_rate,density(P/Km²),urban_pop_%,rank
3749,159,1955,439223,1.15,0.0,18.4,6.55,30,10.5,154
1942,78,1975,55114,1.5,-224.0,18.6,5.0,68,29.6,203
902,34,1990,4776374,0.25,5229.0,35.8,1.72,85,51.0,105
1333,54,1980,726328,2.32,1000.0,21.4,5.57,3,54.9,153
39,2,2017,41389189,2.07,-10000.0,27.7,2.98,17,71.9,33
877,33,2017,24437470,2.58,-8000.0,18.4,4.89,77,50.0,55
2077,86,2016,6492162,1.15,-1999.0,27.4,2.41,4,77.1,109
1667,68,2005,10085937,-0.26,12318.0,39.1,1.3,111,66.4,81
2126,88,2020,625978,1.66,9741.0,39.7,1.45,242,88.2,169
2697,112,1955,41086100,1.65,674.0,19.1,6.35,45,12.1,13
1355,55,1960,365047,2.06,1008.0,18.5,6.3,36,12.2,156
3032,128,1975,21665643,1.06,-400.0,30.2,2.65,94,42.8,33
281,11,1970,212605,2.55,-1607.0,17.5,6.97,280,83.8,172
3868,165,1985,3244018,2.43,-7159.0,19.4,4.79,7,46.0,123
2647,110,2017,6384846,1.28,-21272.0,25.0,2.52,53,56.8,111
598,24,1995,386284,2.71,-1275.0,17.1,5.05,96,49.1,170
2167,89,2015,24234088,2.76,-1500.0,18.7,4.4,42,35.2,52
894,34,2018,4156405,-0.63,-8001.0,43.3,1.48,74,57.1,129
4017,170,2020,3473730,0.35,-3000.0,35.8,1.98,20,96.1,134
2910,121,1955,8858389,2.64,-3100.0,18.7,6.95,7,43.5,44
1970,80,2015,5959121,1.91,-18671.0,25.1,3.3,31,35.2,112
2007,82,2010,2118861,-1.21,-17319.0,40.8,1.49,34,67.8,143
2306,95,2019,4525696,2.78,5000.0,19.7,4.82,4,56.1,127
1520,62,2017,16914970,2.0,-9215.0,21.6,3.13,158,50.7,67
